symbol,expr_mean,expr_std,expr_median,expr_max,expr_nonzero_fraction,expr_cv,expr_log1p_mean,expr_log1p_max
ENSG00000109743,35.8421052631579,21.784487824468954,33.0,101,1.0,0.6077904091995743,3.606641355876964,4.624972813284271
ENSG00000109756,601.1578947368421,435.9605072822244,462.0,1819,1.0,0.7252013341238193,6.400519694534504,7.506591780070841
ENSG00000109758,2838.4912280701756,1694.7643970560691,2543.0,7822,1.0,0.5970652226423473,7.951380170061149,8.96482339168508
ENSG00000109762,109.08771929824562,55.11393416685449,106.0,283,1.0,0.5052258358814259,4.701277496165434,5.648974238161206
ENSG00000109771,8.947368421052632,6.291777663380479,8.0,32,0.9649122807017544,0.7031986800248771,2.297308035893202,3.4965075614664802
ENSG00000109775,342.5964912280702,165.96233002542678,315.0,738,1.0,0.4844250722782326,5.8394679782653816,6.6052979209482015
ENSG00000109787,801.8947368421053,596.1530149997005,607.0,3031,1.0,0.7434305122731891,6.688223617984329,8.016977746762262
ENSG00000109790,739.2280701754386,416.36157953428017,644.0,1599,1.0,0.5632383243177798,6.606958341653228,7.3777589082278725
ENSG00000109794,834.4736842105264,454.24969947561243,753.0,2029,1.0,0.5443547328941429,6.72799885048438,7.615791072035833
ENSG00000109805,9.526315789473685,8.430610177794062,6.0,29,0.9473684210526315,0.8849811788844595,2.3538783873815965,3.4011973816621555
ENSG00000109814,1148.9122807017543,756.7086455900824,1118.0,3569,1.0,0.6586304788455091,7.047440940797359,8.180320874773685
ENSG00000109819,494.12280701754383,400.5575609686114,349.0,1548,1.0,0.8106437413531281,6.204805826783156,7.3453648404168685
ENSG00000109832,3.6666666666666665,3.974621874797533,2.0,19,0.8596491228070176,1.0839877840356908,1.5404450409471488,2.995732273553991
ENSG00000109846,45.578947368421055,25.029231031237007,42.0,107,1.0,0.5491401727407658,3.841148665841489,4.68213122712422
ENSG00000109851,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ENSG00000109854,674.8245614035088,297.6497895902293,656.0,1580,1.0,0.44107729121651035,6.515933517809618,7.365812837209472
ENSG00000109861,748.3333333333334,510.65907460476075,528.0,2124,1.0,0.6823951999172749,6.6191839223454725,7.661527081358517
ENSG00000109881,76.47368421052632,46.58943214903917,70.0,204,1.0,0.6092217555621089,4.349938320122381,5.3230099791384085
ENSG00000109906,219.03508771929825,180.2824138591093,157.0,852,1.0,0.8230754977948923,5.393787023268416,6.748759547491679
ENSG00000109911,197.17543859649123,96.19940651862849,181.0,419,1.0,0.4878873717912469,5.289152691898473,6.040254711277414
ENSG00000109917,289.49122807017545,123.4885944425374,296.0,650,1.0,0.4265711098251398,5.671573379864201,6.478509642208569
ENSG00000109919,3661.1403508771928,1377.4797436752342,3606.0,6890,1.0,0.376243359079418,8.2058030507909,8.837971491357209
ENSG00000109920,142.64912280701753,87.94468456853801,131.0,382,1.0,0.6165105178215062,4.96737367894663,5.948034989180646
ENSG00000109927,13.719298245614034,11.58779281640337,11.0,48,0.9824561403508771,0.8446345147506293,2.689159438632656,3.8918202981106265
ENSG00000109929,3678.9473684210525,2164.6428476528727,3173.0,9627,1.0,0.5883864678884776,8.210653729001205,9.172430798902962
ENSG00000109943,7.684210526315789,5.261578710455237,7.0,27,0.9649122807017544,0.6847259965660925,2.16150649473414,3.332204510175204
ENSG00000109944,4.7894736842105265,4.479065759194429,3.0,18,0.8596491228070176,0.9351895541175181,1.7560413866259759,2.9444389791664403
ENSG00000109956,199.8421052631579,330.7690060122712,54.0,2041,0.9824561403508771,1.655151728794615,5.302519053401737,7.621684998724611
ENSG00000109971,9377.17543859649,4415.072447726276,8494.0,19451,1.0,0.47083180608457215,9.146140506938453,9.875705171523677
ENSG00000109991,17.842105263157894,13.70712728276296,17.0,57,0.9298245614035088,0.7682460718952692,2.9360940072342596,4.060443010546419
ENSG00000110002,88.47368421052632,46.54533322592913,77.0,233,1.0,0.5260924041003292,4.493944550877867,5.455321115357702
ENSG00000110011,388.6842105263158,230.259725860567,305.0,1051,1.0,0.5924082317333477,5.965336694526948,6.9584483932976555
ENSG00000110013,688.859649122807,331.1441981220185,717.0,1434,1.0,0.4807135946251128,6.536488169832886,7.268920128193722
ENSG00000110025,1.0526315789473684,1.949551712496811,0.0,7,0.38596491228070173,1.8520741268719705,0.7191226669632059,2.0794415416798357
ENSG00000110031,112.71929824561404,65.46011718868131,98.0,356,1.0,0.5807356700007524,4.733733115866943,5.877735781779639
ENSG00000110042,673.0175438596491,343.59202818105945,654.0,1540,1.0,0.510524623489922,6.5132561400389015,7.340186835320115
ENSG00000110046,687.1754385964912,470.1247601437842,474.0,1750,1.0,0.6841408085015115,6.534043803386906,7.467942332285852
ENSG00000110047,825.0526315789474,538.8599215358237,595.0,1920,1.0,0.6531218747882527,6.716658490109613,7.560601162768557
ENSG00000110048,1581.2105263157894,857.179401476604,1495.0,3758,1.0,0.5421032729106773,7.366578215526731,8.231908243564177
ENSG00000110057,248.03508771929825,185.55091377842913,180.0,700,1.0,0.7480833275831419,5.517593801072522,6.55250788703459
ENSG00000110060,271.70175438596493,89.39777979671227,275.0,506,1.0,0.32902908558226895,5.608378723222726,6.2285110035911835
ENSG00000110063,208.35087719298247,105.33051572958165,198.0,569,1.0,0.5055439033838122,5.344011682535106,6.345636360828596
ENSG00000110066,384.82456140350877,186.93172195130285,373.0,993,1.0,0.48575829273874005,5.955382762010531,6.901737206656574
ENSG00000110074,638.0877192982456,332.2879173624323,561.0,1660,1.0,0.5207558574044883,6.460041720853159,7.415175109613295
ENSG00000110075,450.280701754386,266.37532291231787,382.0,1361,1.0,0.5915761476662557,6.1120895444615035,7.216709486709457
ENSG00000110076,19.333333333333332,19.834433742982476,14.0,108,0.9649122807017544,1.0259189867059901,3.0122615755052013,4.6913478822291435
ENSG00000110077,1013.5263157894736,822.8374710472283,713.0,3113,1.0,0.8118560497428123,6.9221770985937825,8.043663352393944
ENSG00000110079,142.2280701754386,122.94264306459853,108.0,519,1.0,0.8644049160826589,4.964438256095185,6.253828811575473
ENSG00000110080,187.6315789473684,109.50434296327951,150.0,457,1.0,0.5836136090609567,5.239795794928381,6.126869184114185
ENSG00000110090,2045.2456140350878,1097.114482903444,1936.0,4428,1.0,0.5364218729402063,7.623761985267086,8.395929103923198
ENSG00000110092,1522.7894736842106,895.1052160189664,1340.0,4132,1.0,0.587806280176973,7.328955586077138,8.326758814511733
ENSG00000110104,107.17543859649123,51.49830885122676,95.0,223,1.0,0.48050476420362176,4.683754340611546,5.4116460518550396
ENSG00000110107,946.2456140350877,471.55204532865093,816.0,2224,1.0,0.49834000637298104,6.853558419679585,7.707512194600341
ENSG00000110108,771.8245614035088,387.86117374680674,690.0,1700,1.0,0.5025250466783648,6.650052064747697,7.438971592395862
ENSG00000110148,0.017543859649122806,0.13245323570650436,0.0,1,0.017543859649122806,7.549834435270749,0.017391742711869183,0.6931471805599453
